"","FLF-a","FLF-b","FLF-c","PF-a","PF-b","PF-c"
"SVE_0017100",5.94261223734938,5.53175471373091,5.92382522313834,7.04171930341304,7.08700081894308,7.20982298880566
"SVE_0017200",5.46630810559217,5.42300048623759,5.02080825064532,5.92469586070882,6.43654057383339,6.25132754734381
"SVE_0017300",6.12937758752235,5.59641801200083,6.37566696851763,6.83157919007048,6.6943481729363,6.83501305330183
"SVE_0017400",1.70156649742982,1.42358416597931,2.4049756913285,2.31852420300172,1.76614464056287,2.15713865868324
"SVE_0017500",1.44042169603798,0.362127260085087,1.41103419264331,4.8778234939529,4.89698627939489,4.91998252596638
"SVE_0017600",-2.55116703852261,-5.61461812221571,-1.05094992966918,-1.8883877563358,-2.52415964937195,-2.38899577243215
"SVE_0017700",5.87962939966123,5.59509161932846,5.75868048723983,4.97348883323702,5.00289282467328,4.82887284804544
"SVE_0017800",1.48142016807963,0.122459311569447,0.34345494847373,0.424449924200209,1.16616831685354,0.301149233456981
"SVE_0017900",2.56901572994891,2.64397314792932,2.18420514760742,1.88459478519525,2.48015829161166,2.15348861212573
"SVE_0018100",-3.14222834571996,-0.585432196386393,-3.70082809646869,-4.73722564034001,-3.92224980763842,-3.98586653820236
"SVE_0018200",-3.1637229876236,-5.61461677423213,-0.977804038368957,-3.94533983489934,-2.33599718367555,-3.98586653820236
"SVE_0018300",-0.429102735696069,-1.60618665568687,0.128073288493289,-1.39586068731957,-1.40793208982001,-3.23006344560397
"SVE_0018400",0.541923818164545,0.371446287141973,1.58036243055711,-0.539093799840293,-1.18754382339664,-0.151154479182478
"SVE_0018500",2.71981029512044,2.40048048406416,2.65247387111882,2.36067971163971,2.6789875366456,2.98137617737577
"SVE_0018600",2.63819983063828,2.82974345291429,2.83611177073846,1.78648315084765,2.70265625504023,1.9218378143613
"SVE_0018700",5.60057745516823,5.39301915348581,6.14408868772178,5.82113710838993,5.51107891031282,5.47003778542579
"SVE_0018800",1.35420525627209,0.521790056377711,0.849796718144154,0.774779556310307,0.36793710903754,0.796963362805306
"SVE_0019000",-3.75281077920483,-3.44418193551582,-2.88541165147395,-3.33215936267443,-2.32927301145136,-3.98591459034703
"SVE_0019200",5.31439590725802,4.90829045091776,4.23671914605852,4.73821032347125,4.65670398854583,4.85216356676662
"SVE_0019300",-2.79385927174722,-5.61460865240241,-4.51212028946404,-2.54608032854327,-2.51507413548772,-2.39811699688454
"SVE_0019400",1.02413397842986,0.910843281211797,0.530030103147616,0.883610042665567,0.815188706904167,0.242068883376439
"SVE_0019500",-3.01661572547499,-4.03785148756904,-2.53388045401133,-2.16841543245474,-3.92224980763842,-3.98586653820236
"SVE_0019600",-1.63132246099395,-2.51200532494614,-0.75460020173257,-2.18655722725352,-3.12282120334397,-3.17504950168231
"SVE_0019700",7.15051355642765,6.69506757436955,7.235943673855,7.47502354382535,7.42001305495186,7.35420084967439
"SVE_0019800",0.612810647302399,-0.642111262027886,2.02291101127821,0.0833097103656224,-0.268147286064322,0.543861980890429
"SVE_0019900",-1.91289748142446,-0.34605060664711,0.439891099882514,0.794383834809409,-0.0226468819631311,-0.63923888263301
"SVE_0020000",7.2332462031832,7.0742474993519,7.06416744742559,7.52676184710418,7.50784467774819,7.51101825075029
"SVE_0020100",2.64095101604182,1.70049765056477,2.31810735478688,2.12271998651691,1.39575881012521,2.0441069787931
"SVE_0020200",6.41899771113124,6.1266365340854,6.36368264882592,6.98819253162654,6.72648871349367,6.77465406083274
"SVE_0020300",-3.74520043456775,-1.2351830288233,-5.29869546217061,-3.95053228446852,-3.13737693571566,-2.57507238542143
"SVE_0020400",-3.01556026664834,-0.883300554609912,-5.29869978920635,-3.17005565439969,-3.12583081382474,-2.37087576686937
